"id","group_id","username","user_type","department","created_at","updated_at"
60,21,police1101,"14.กองบังคับการตำรวจปราบปรามยาเสพติด 1-4",กองบังคับการตำรวจปราบปรามยาเสพติด 1,,
61,21,police1102,"14.กองบังคับการตำรวจปราบปรามยาเสพติด 1-4",กองบังคับการตำรวจปราบปรามยาเสพติด 2,,
62,21,police111,"15.กองบังคับการตำรวจภูธรจังหวัด ตามจังหวัด",กองบังคับการตำรวจภูธรจังหวัดสมุทรปราการ,,
63,21,police440,"15.กองบังคับการตำรวจภูธรจังหวัด ตามจังหวัด",กองบังคับการตำรวจภูธรจังหวัดขอนแก่น,,
64,21,police131,"16.กองบังคับการตำรวจรถไฟ",กองบังคับการตำรวจรถไฟ,,
65,21,police20,"17.กองบัญชาการตำรวจท่องเที่ยว",กองบัญชาการตำรวจท่องเที่ยว,,
66,22,doe,"กลุ่ม user ระดับกรมฯ ยกเว้น กรมส่งเสริมการปกครองฯ,กรมคุมประพฤติ",กรมการจัดหางาน,,
67,22,dopa,"กลุ่ม user ระดับกรมฯ ยกเว้น กรมส่งเสริมการปกครองฯ,กรมคุมประพฤติ",กรมการปกครอง,,
68,23,probation1,กลุ่ม user กรมคุมประพฤติ,อธิบดีกรมคุมประพฤติ,,
69,23,probation2,กลุ่ม user กรมคุมประพฤติ,รองอธิบดีกรมคุมประพฤติ,,
70,24,moltest18,กลุ่ม user สำนักงานแรงงานจังหวัด และ หน่วยงานสังกัดกรมสวัสดิการและคุ้มครองแรงงานและสำนักงานเขตในพื้นที่กรุงเทพมหานคร,สำนักงานแรงงานจังหวัดชัยนาท,,
71,24,mol11,กลุ่ม user สำนักงานแรงงานจังหวัด และ หน่วยงานสังกัดกรมสวัสดิการและคุ้มครองแรงงานและสำนักงานเขตในพื้นที่กรุงเทพมหานคร,สำนักงานแรงงานจังหวัดสมุทรปราการ,,
72,25,labour10,กลุ่ม user กรมสวัสดิการแรงงาน,สำนักงานสวัสดิการและคุ้มครองแรงงานกรุงเทพมหานครพื้นที่ 1-10,,
73,25,labour11,กลุ่ม user กรมสวัสดิการแรงงาน,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดสมุทรปราการ,,
74,26,moe10,กลุ่ม user สำนักงานศึกษาธิการจังหวัด,สำนักงานศึกษาธิการจังหวัดกรุงเทพมหานคร,,
75,26,moe11,กลุ่ม user สำนักงานศึกษาธิการจังหวัด,สำนักงานศึกษาธิการจังหวัดสมุทรปราการ,,
